match_id,date,league,home_recent_wins,home_recent_draws,home_recent_losses,home_recent_goals_for,home_recent_goals_against,home_recent_form_points,away_recent_wins,away_recent_draws,away_recent_losses,away_recent_goals_for,away_recent_goals_against,away_recent_form_points,h2h_home_wins,h2h_draws,h2h_away_wins,home_avg_goals,home_total_matches,away_avg_goals,away_total_matches,total_goals,over_2_5,btts,home_win,draw,away_win,home_scoring_trend,away_scoring_trend,form_difference,home_form_normalized,away_form_normalized,h2h_home_dominance,h2h_away_dominance,h2h_balance,home_defensive_rating,away_defensive_rating,expected_goals_combined
1905,2020-09-13,PD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906,2020-09-13,PD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1907,2020-09-13,PD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,6,1,1,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-09-14,PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-09-14,PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,2,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3801,2020-09-18,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,8,1,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-09-19,PL,1,0,0,1,0,3,0,0,1,0,3,0,0,0,0,0.0,0,0.0,0,7,1,1,1,0,0,0.0,0.0,3,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.3
10,2020-09-19,PL,0,0,1,3,4,0,0,0,1,0,3,0,0,0,0,0.0,0,0.0,0,7,1,1,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.7
11,2020-09-19,PL,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1,0.0,0.0,-3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-09-19,PL,1,0,0,3,0,3,0,0,1,0,2,0,0,0,0,0.0,0,0.0,0,3,1,1,1,0,0,0.0,0.0,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.2
1908,2020-09-19,PD,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0.0,0,0.0,0,3,1,1,1,0,0,0.0,0.0,0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.2,0.0,0.1
1909,2020-09-19,PD,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0,0.0,0.0,-3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
1910,2020-09-19,PD,0,1,0,0,0,1,1,0,0,4,2,3,0,0,0,0.0,0,0.0,0,3,1,1,1,0,0,0.0,0.0,-2,0.06666666666666667,0.2,0.0,0.0,0.0,0.0,0.4,0.2
3802,2020-09-19,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3803,2020-09-19,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,5,1,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3804,2020-09-19,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,5,1,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3805,2020-09-19,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3806,2020-09-19,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,5,1,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3807,2020-09-19,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,3,1,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-09-20,PL,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0.0,0,0.0,0,7,1,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
14,2020-09-20,PL,1,0,0,2,0,3,0,0,1,1,3,0,0,0,0,0.0,0,0.0,0,3,1,0,0,0,1,0.0,0.0,3,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.3
